Jul - Jun reference period,Offence Subdivision,Offence Group,Location Division,Location Subdivision,Location Group,Offence Count
2017,B20 Property damage,B22 Graffiti,3 Other,39 Other location,392 Other Location (Not Elsewhere),65
2017,B20 Property damage,B22 Graffiti,3 Other,39 Other location,393 Construction Site,21
2017,B20 Property damage,B22 Graffiti,3 Other,39 Other location,394 Veterinary Clinic,2
2017,B20 Property damage,B22 Graffiti,4 Unknown/Missing,41 Unknown/Missing,411 Unknown/Missing,51
2017,B20 Property damage,B29 Other property damage offences,1 Residential,11 Dwelling - private,111 Flat/Unit/Apartment,15
2017,B20 Property damage,B29 Other property damage offences,1 Residential,11 Dwelling - private,112 House,66
2017,B20 Property damage,B29 Other property damage offences,1 Residential,11 Dwelling - private,116 Ministry Of Housing,1
2017,B20 Property damage,B29 Other property damage offences,1 Residential,11 Dwelling - private,117 Farm House,1
2017,B20 Property damage,B29 Other property damage offences,1 Residential,12 Dwelling  - non-private,124 Nursing Home,1
2017,B20 Property damage,B29 Other property damage offences,1 Residential,13 Grounds/surrounding land,132 Backyard,5
2017,B20 Property damage,B29 Other property damage offences,1 Residential,13 Grounds/surrounding land,133 Frontyard,36
2017,B20 Property damage,B29 Other property damage offences,1 Residential,13 Grounds/surrounding land,134 Garage,2
2017,B20 Property damage,B29 Other property damage offences,1 Residential,13 Grounds/surrounding land,135 Shed,2
2017,B20 Property damage,B29 Other property damage offences,1 Residential,13 Grounds/surrounding land,137 Other Residential (nec),7
2017,B20 Property damage,B29 Other property damage offences,1 Residential,13 Grounds/surrounding land,138 Driveway/Carport,66
2017,B20 Property damage,B29 Other property damage offences,1 Residential,13 Grounds/surrounding land,139 Carpark Multi Dwelling,15
2017,B20 Property damage,B29 Other property damage offences,2 Community,21 Education,212 School Grounds,1
2017,B20 Property damage,B29 Other property damage offences,2 Community,21 Education,213 Other Educational,1
2017,B20 Property damage,B29 Other property damage offences,2 Community,22 Health,221 Hospital,2
2017,B20 Property damage,B29 Other property damage offences,2 Community,22 Health,224 Other Health,2
2017,B20 Property damage,B29 Other property damage offences,2 Community,23 Religious,231 Church,1
2017,B20 Property damage,B29 Other property damage offences,2 Community,24 Public Transport,242 Train Station,5
2017,B20 Property damage,B29 Other property damage offences,2 Community,24 Public Transport,243 Railway Carpark,12
2017,B20 Property damage,B29 Other property damage offences,2 Community,24 Public Transport,246 Depot/Terminal,1
2017,B20 Property damage,B29 Other property damage offences,2 Community,24 Public Transport,249 Taxi,2
2017,B20 Property damage,B29 Other property damage offences,2 Community,25 Other Transport,251 Private Car,5
2017,B20 Property damage,B29 Other property damage offences,2 Community,25 Other Transport,255 Carpark (Single Level),35
2017,B20 Property damage,B29 Other property damage offences,2 Community,25 Other Transport,256 Carpark (Multi Level),4
2017,B20 Property damage,B29 Other property damage offences,2 Community,26 Justice,261 Police Station,1
2017,B20 Property damage,B29 Other property damage offences,2 Community,26 Justice,265 Other Justice Facility,1
2017,B20 Property damage,B29 Other property damage offences,2 Community,27 Open Space,271 Parkland/Reserve,2
2017,B20 Property damage,B29 Other property damage offences,2 Community,28 Street/footpath,281 Street/Lane/Footpath,133
2017,B20 Property damage,B29 Other property damage offences,2 Community,29 Other community location,294 Car Wash,1
2017,B20 Property damage,B29 Other property damage offences,3 Other,31 Admin/professional,311 Business Office,3
2017,B20 Property damage,B29 Other property damage offences,3 Other,33 Retail,3311 Restaurant/Fastfood,1
2017,B20 Property damage,B29 Other property damage offences,3 Other,33 Retail,3312 Other Retail,4
2017,B20 Property damage,B29 Other property damage offences,3 Other,33 Retail,332 Service Station,3
2017,B20 Property damage,B29 Other property damage offences,3 Other,33 Retail,337 Shopping Complex,4
2017,B20 Property damage,B29 Other property damage offences,3 Other,33 Retail,338 Car Sales Yard,2
2017,B20 Property damage,B29 Other property damage offences,3 Other,34 Wholesale,341 Any Wholesale,1
2017,B20 Property damage,B29 Other property damage offences,3 Other,35 Warehousing/storage,351 Warehousing/Storage,2
2017,B20 Property damage,B29 Other property damage offences,3 Other,36 Manufacturing,361 Factory,2
2017,B20 Property damage,B29 Other property damage offences,3 Other,36 Manufacturing,362 Any Manufacturing,1
2017,B20 Property damage,B29 Other property damage offences,3 Other,38 Recreational,381 Licenced Premises,2
2017,B20 Property damage,B29 Other property damage offences,3 Other,38 Recreational,384 Sport Area/Facility,1
2017,B20 Property damage,B29 Other property damage offences,3 Other,38 Recreational,386 Other Rec./Sports,1
2017,B20 Property damage,B29 Other property damage offences,3 Other,39 Other location,392 Other Location (Not Elsewhere),5
2017,B20 Property damage,B29 Other property damage offences,3 Other,39 Other location,393 Construction Site,2
2017,B20 Property damage,B29 Other property damage offences,4 Unknown/Missing,41 Unknown/Missing,411 Unknown/Missing,23
2017,B30 Burglary/Break and enter,B311 Residential aggravated burglary,1 Residential,11 Dwelling - private,111 Flat/Unit/Apartment,599
2017,B30 Burglary/Break and enter,B311 Residential aggravated burglary,1 Residential,11 Dwelling - private,112 House,"2,911"
2017,B30 Burglary/Break and enter,B311 Residential aggravated burglary,1 Residential,11 Dwelling - private,113 Bungalow,22
2017,B30 Burglary/Break and enter,B311 Residential aggravated burglary,1 Residential,11 Dwelling - private,114 Caravan/Mobile Home,11
2017,B30 Burglary/Break and enter,B311 Residential aggravated burglary,1 Residential,11 Dwelling - private,115 Houseboat,1
2017,B30 Burglary/Break and enter,B311 Residential aggravated burglary,1 Residential,11 Dwelling - private,116 Ministry Of Housing,34
2017,B30 Burglary/Break and enter,B311 Residential aggravated burglary,1 Residential,11 Dwelling - private,117 Farm House,8
2017,B30 Burglary/Break and enter,B311 Residential aggravated burglary,1 Residential,12 Dwelling  - non-private,121 Boarding House,36
2017,B30 Burglary/Break and enter,B311 Residential aggravated burglary,1 Residential,12 Dwelling  - non-private,122 Holiday Home,6
2017,B30 Burglary/Break and enter,B311 Residential aggravated burglary,1 Residential,12 Dwelling  - non-private,123 Guest House,3
2017,B30 Burglary/Break and enter,B311 Residential aggravated burglary,1 Residential,12 Dwelling  - non-private,124 Nursing Home,8
2017,B30 Burglary/Break and enter,B311 Residential aggravated burglary,1 Residential,12 Dwelling  - non-private,125 Hotel/Motel,35
2017,B30 Burglary/Break and enter,B311 Residential aggravated burglary,1 Residential,12 Dwelling  - non-private,126 Other Dwelling,7
2017,B30 Burglary/Break and enter,B311 Residential aggravated burglary,1 Residential,13 Grounds/surrounding land,132 Backyard,8
2017,B30 Burglary/Break and enter,B311 Residential aggravated burglary,1 Residential,13 Grounds/surrounding land,133 Frontyard,22
2017,B30 Burglary/Break and enter,B311 Residential aggravated burglary,1 Residential,13 Grounds/surrounding land,134 Garage,174
2017,B30 Burglary/Break and enter,B311 Residential aggravated burglary,1 Residential,13 Grounds/surrounding land,135 Shed,3
2017,B30 Burglary/Break and enter,B311 Residential aggravated burglary,1 Residential,13 Grounds/surrounding land,137 Other Residential (nec),10
2017,B30 Burglary/Break and enter,B311 Residential aggravated burglary,1 Residential,13 Grounds/surrounding land,138 Driveway/Carport,50
2017,B30 Burglary/Break and enter,B311 Residential aggravated burglary,1 Residential,13 Grounds/surrounding land,139 Carpark Multi Dwelling,2
2017,B30 Burglary/Break and enter,B312 Non-residential aggravated burglary,2 Community,21 Education,211 School,3
2017,B30 Burglary/Break and enter,B312 Non-residential aggravated burglary,2 Community,21 Education,212 School Grounds,2
2017,B30 Burglary/Break and enter,B312 Non-residential aggravated burglary,2 Community,21 Education,213 Other Educational,1
2017,B30 Burglary/Break and enter,B312 Non-residential aggravated burglary,2 Community,22 Health,221 Hospital,4
2017,B30 Burglary/Break and enter,B312 Non-residential aggravated burglary,2 Community,22 Health,222 Medical Centre,3
2017,B30 Burglary/Break and enter,B312 Non-residential aggravated burglary,2 Community,22 Health,223 Dental,1
2017,B30 Burglary/Break and enter,B312 Non-residential aggravated burglary,2 Community,22 Health,224 Other Health,1
2017,B30 Burglary/Break and enter,B312 Non-residential aggravated burglary,2 Community,23 Religious,231 Church,3
2017,B30 Burglary/Break and enter,B312 Non-residential aggravated burglary,2 Community,23 Religious,232 Other religious,1
2017,B30 Burglary/Break and enter,B312 Non-residential aggravated burglary,2 Community,24 Public Transport,242 Train Station,1
2017,B30 Burglary/Break and enter,B312 Non-residential aggravated burglary,2 Community,24 Public Transport,248 Office (Public transport office Only),1
2017,B30 Burglary/Break and enter,B312 Non-residential aggravated burglary,2 Community,25 Other Transport,251 Private Car,2
2017,B30 Burglary/Break and enter,B312 Non-residential aggravated burglary,2 Community,25 Other Transport,255 Carpark (Single Level),2
2017,B30 Burglary/Break and enter,B312 Non-residential aggravated burglary,2 Community,26 Justice,263 Prison/Detention Centre,2
2017,B30 Burglary/Break and enter,B312 Non-residential aggravated burglary,2 Community,26 Justice,264 Youth Training Centre,2
2017,B30 Burglary/Break and enter,B312 Non-residential aggravated burglary,2 Community,27 Open Space,275 Other Open Space,1
2017,B30 Burglary/Break and enter,B312 Non-residential aggravated burglary,2 Community,28 Street/footpath,281 Street/Lane/Footpath,21
2017,B30 Burglary/Break and enter,B312 Non-residential aggravated burglary,2 Community,29 Other community location,293 Gallery,1
2017,B30 Burglary/Break and enter,B312 Non-residential aggravated burglary,3 Other,31 Admin/professional,311 Business Office,14
2017,B30 Burglary/Break and enter,B312 Non-residential aggravated burglary,3 Other,31 Admin/professional,312 Other Admin/Professional,2
2017,B30 Burglary/Break and enter,B312 Non-residential aggravated burglary,3 Other,33 Retail,3310 24Hr Convenience,12
2017,B30 Burglary/Break and enter,B312 Non-residential aggravated burglary,3 Other,33 Retail,3311 Restaurant/Fastfood,14
2017,B30 Burglary/Break and enter,B312 Non-residential aggravated burglary,3 Other,33 Retail,3312 Other Retail,18
2017,B30 Burglary/Break and enter,B312 Non-residential aggravated burglary,3 Other,33 Retail,332 Service Station,21
2017,B30 Burglary/Break and enter,B312 Non-residential aggravated burglary,3 Other,33 Retail,333 Jeweller,1
2017,B30 Burglary/Break and enter,B312 Non-residential aggravated burglary,3 Other,33 Retail,335 Supermarket,3
2017,B30 Burglary/Break and enter,B312 Non-residential aggravated burglary,3 Other,33 Retail,337 Shopping Complex,1
2017,B30 Burglary/Break and enter,B312 Non-residential aggravated burglary,3 Other,33 Retail,338 Car Sales Yard,2
2017,B30 Burglary/Break and enter,B312 Non-residential aggravated burglary,3 Other,33 Retail,339 Milkbar,15
2017,B30 Burglary/Break and enter,B312 Non-residential aggravated burglary,3 Other,34 Wholesale,341 Any Wholesale,1
2017,B30 Burglary/Break and enter,B312 Non-residential aggravated burglary,3 Other,35 Warehousing/storage,351 Warehousing/Storage,2
2017,B30 Burglary/Break and enter,B312 Non-residential aggravated burglary,3 Other,36 Manufacturing,361 Factory,7
2017,B30 Burglary/Break and enter,B312 Non-residential aggravated burglary,3 Other,36 Manufacturing,362 Any Manufacturing,1
2017,B30 Burglary/Break and enter,B312 Non-residential aggravated burglary,3 Other,38 Recreational,381 Licenced Premises,7
2017,B30 Burglary/Break and enter,B312 Non-residential aggravated burglary,3 Other,38 Recreational,384 Sport Area/Facility,1
2017,B30 Burglary/Break and enter,B312 Non-residential aggravated burglary,3 Other,39 Other location,392 Other Location (Not Elsewhere),4
2017,B30 Burglary/Break and enter,B312 Non-residential aggravated burglary,3 Other,39 Other location,393 Construction Site,1
2017,B30 Burglary/Break and enter,B312 Non-residential aggravated burglary,3 Other,39 Other location,394 Veterinary Clinic,1
2017,B30 Burglary/Break and enter,B319 Unknown aggravated burglary,4 Unknown/Missing,41 Unknown/Missing,411 Unknown/Missing,3
2017,B30 Burglary/Break and enter,B321 Residential non-aggravated burglary,1 Residential,11 Dwelling - private,111 Flat/Unit/Apartment,"3,574"
2017,B30 Burglary/Break and enter,B321 Residential non-aggravated burglary,1 Residential,11 Dwelling - private,112 House,"20,528"
2017,B30 Burglary/Break and enter,B321 Residential non-aggravated burglary,1 Residential,11 Dwelling - private,113 Bungalow,144
2017,B30 Burglary/Break and enter,B321 Residential non-aggravated burglary,1 Residential,11 Dwelling - private,114 Caravan/Mobile Home,108
2017,B30 Burglary/Break and enter,B321 Residential non-aggravated burglary,1 Residential,11 Dwelling - private,115 Houseboat,6
2017,B30 Burglary/Break and enter,B321 Residential non-aggravated burglary,1 Residential,11 Dwelling - private,116 Ministry Of Housing,204
2017,B30 Burglary/Break and enter,B321 Residential non-aggravated burglary,1 Residential,11 Dwelling - private,117 Farm House,123
2017,B30 Burglary/Break and enter,B321 Residential non-aggravated burglary,1 Residential,12 Dwelling  - non-private,121 Boarding House,88
2017,B30 Burglary/Break and enter,B321 Residential non-aggravated burglary,1 Residential,12 Dwelling  - non-private,122 Holiday Home,459
2017,B30 Burglary/Break and enter,B321 Residential non-aggravated burglary,1 Residential,12 Dwelling  - non-private,123 Guest House,24
2017,B30 Burglary/Break and enter,B321 Residential non-aggravated burglary,1 Residential,12 Dwelling  - non-private,124 Nursing Home,38
2017,B30 Burglary/Break and enter,B321 Residential non-aggravated burglary,1 Residential,12 Dwelling  - non-private,125 Hotel/Motel,161
2017,B30 Burglary/Break and enter,B321 Residential non-aggravated burglary,1 Residential,12 Dwelling  - non-private,126 Other Dwelling,164
2017,B30 Burglary/Break and enter,B321 Residential non-aggravated burglary,1 Residential,13 Grounds/surrounding land,131 Clothesline/Laundry,10
2017,B30 Burglary/Break and enter,B321 Residential non-aggravated burglary,1 Residential,13 Grounds/surrounding land,1310 Farm Building,174
2017,B30 Burglary/Break and enter,B321 Residential non-aggravated burglary,1 Residential,13 Grounds/surrounding land,132 Backyard,96
2017,B30 Burglary/Break and enter,B321 Residential non-aggravated burglary,1 Residential,13 Grounds/surrounding land,133 Frontyard,53
2017,B30 Burglary/Break and enter,B321 Residential non-aggravated burglary,1 Residential,13 Grounds/surrounding land,134 Garage,"2,571"
2017,B30 Burglary/Break and enter,B321 Residential non-aggravated burglary,1 Residential,13 Grounds/surrounding land,135 Shed,"1,499"
2017,B30 Burglary/Break and enter,B321 Residential non-aggravated burglary,1 Residential,13 Grounds/surrounding land,136 Premises Under Construction,935
2017,B30 Burglary/Break and enter,B321 Residential non-aggravated burglary,1 Residential,13 Grounds/surrounding land,137 Other Residential (nec),92
2017,B30 Burglary/Break and enter,B321 Residential non-aggravated burglary,1 Residential,13 Grounds/surrounding land,138 Driveway/Carport,101
2017,B30 Burglary/Break and enter,B321 Residential non-aggravated burglary,1 Residential,13 Grounds/surrounding land,139 Carpark Multi Dwelling,416
2017,B30 Burglary/Break and enter,B322 Non-residential non-aggravated burglary,2 Community,21 Education,211 School,915
2017,B30 Burglary/Break and enter,B322 Non-residential non-aggravated burglary,2 Community,21 Education,212 School Grounds,112
2017,B30 Burglary/Break and enter,B322 Non-residential non-aggravated burglary,2 Community,21 Education,213 Other Educational,213
2017,B30 Burglary/Break and enter,B322 Non-residential non-aggravated burglary,2 Community,22 Health,221 Hospital,50
